"12346","0","1","0.00","2","0.000000"
"12747","1275","42","4179.57","11","379.960909"
"12748","24209","1769","30100.71","210","143.336714"
"12749","1422","160","3733.17","6","622.195000"
"12820","722","55","942.34","4","235.585000"
"12821","70","6","92.72","1","92.720000"
"12822","548","41","918.98","3","306.326667"
"12823","230","1","1759.50","5","351.900000"
"12824","232","25","397.12","1","397.120000"
"12826","1054","58","1468.12","8","183.515000"
"12827","197","19","430.15","3","143.383333"
"12828","494","46","1011.75","6","168.625000"
"12829","375","9","182.25","3","60.750000"
"12830","9847","14","6804.65","7","972.092857"
"12831","135","9","209.53","1","209.530000"
"12832","195","27","383.03","2","191.515000"
"12833","156","24","409.66","1","409.660000"
"12834","110","18","312.38","1","312.380000"
"12836","1064","148","2475.27","4","618.817500"
"12837","24","12","121.62","1","121.620000"
"12838","359","115","673.66","2","336.830000"
"12839","3804","96","5578.10","15","371.873333"
"12840","1505","67","2714.27","5","542.854000"
"12841","2683","230","3838.84","26","147.647692"
"12842","547","34","1052.70","2","526.350000"
"12843","753","69","1659.80","9","184.422222"
"12844","125","47","325.96","2","162.980000"
"12845","204","26","354.09","4","88.522500"
"12847","909","72","871.54","1","871.540000"
"12849","623","47","1050.89","2","525.445000"
"12851","109","43","128.22","1","128.220000"
"12852","145","17","292.31","2","146.155000"
"12853","782","66","1848.58","7","264.082857"
"12854","622","97","1286.39","4","321.597500"
"12855","30","3","38.10","1","38.100000"
"12856","1076","155","2149.13","7","307.018571"
"12857","343","37","1099.68","2","549.840000"
"12863","186","5","504.20","2","252.100000"
"12864","216","3","147.12","1","147.120000"
"12867","4274","241","3986.22","8","498.277500"
"12868","928","72","1601.54","6","266.923333"
"12870","-2","2","-14.90","1","-14.900000"
"12871","200","8","380.64","2","190.320000"
"12872","319","58","594.45","2","297.225000"
"12873","128","4","374.00","1","374.000000"
"12875","2019","1","343.23","2","171.615000"
"12877","1178","100","1535.77","12","127.980833"
"12878","536","38","841.64","3","280.546667"
"12879","363","7","552.57","4","138.142500"
"12881","21","7","112.99","1","112.990000"
"12882","246","12","1463.04","2","731.520000"
"12883","196","39","680.76","4","170.190000"
"12884","43","7","159.03","1","159.030000"
"12885","654","66","1133.87","4","283.467500"
"12886","761","75","1337.79","3","445.930000"
"12888","68","4","307.17","3","102.390000"
"12890","259","78","380.47","1","380.470000"
"12891","950","2","331.00","3","110.333333"
"12893","96","27","188.14","1","188.140000"
"12895","204","22","339.52","3","113.173333"
"12897","110","3","216.50","2","108.250000"
"12901","20915","32","16293.10","29","561.831034"
"12902","66","10","124.76","1","124.760000"
"12904","302","59","490.76","2","245.380000"
"12906","1749","55","2917.05","5","583.410000"
"12908","0","2","246.00","3","82.000000"
"12909","1270","78","1652.68","6","275.446667"
"12910","1692","48","3075.04","8","384.380000"
"12912","670","17","1662.30","5","332.460000"
"12913","1419","37","2473.61","5","494.722000"
"12915","93","19","350.69","2","175.345000"
"12916","1111","53","2927.65","5","585.530000"
"12917","120","2","594.00","1","594.000000"
"12919","668","34","1301.44","7","185.920000"
"12920","129","27","150.31","1","150.310000"
"12921","9454","233","16369.10","38","430.765789"
"12922","370","28","405.38","1","405.380000"
"12923","69","28","176.97","1","176.970000"
"12924","480","22","927.19","5","185.438000"
"12925","541","42","686.53","2","343.265000"
"12928","1472","59","2062.70","5","412.540000"
"12929","36","8","97.94","2","48.970000"
"12930","250","20","407.14","3","135.713333"
